Frame,Estado
1575,Desconocida
1576,Desconocida
1577,Desconocida
1578,Desconocida
1579,Desconocida
1580,Desconocida
1581,Desconocida
1582,Desconocida
1583,Desconocida
1584,Desconocida
1585,Desconocida
1586,Desconocida
1587,Desconocida
1588,Desconocida
1589,Desconocida
1590,Desconocida
1591,Desconocida
1592,Desconocida
1593,Desconocida
1594,Desconocida
1595,Desconocida
1596,Desconocida
1597,Desconocida
1598,Desconocida
1599,Desconocida
1600,Desconocida
1601,Desconocida
1602,Desconocida
1603,Desconocida
1604,Desconocida
1605,Desconocida
1606,Desconocida
1607,Desconocida
1608,Desconocida
1609,Desconocida
1610,Desconocida
1611,Desconocida
1612,Desconocida
1613,Desconocida
1614,Desconocida
1615,Desconocida
1616,Desconocida
1617,Desconocida
1618,Desconocida
1619,Desconocida
1620,Desconocida
1621,Desconocida
1622,Desconocida
1623,Desconocida
1624,Desconocida
1625,Desconocida
1626,Desconocida
1627,Desconocida
1628,Desconocida
1629,Desconocida
1630,Desconocida
1631,Desconocida
1632,Desconocida
1633,Desconocida
1634,Desconocida
1635,Desconocida
1636,Desconocida
1637,Desconocida
1638,Desconocida
1639,Desconocida
1640,Desconocida
1641,Desconocida
1642,Desconocida
1643,Desconocida
1644,Desconocida
1645,Desconocida
1646,Desconocida
1647,Desconocida
1648,Desconocida
1649,Desconocida
1650,Desconocida
1651,Desconocida
1652,Desconocida
1653,Desconocida
1654,Desconocida
1655,Desconocida
1656,Desconocida
1657,Desconocida
1658,Desconocida
1659,Desconocida
1660,Desconocida
1661,Desconocida
1662,Desconocida
1663,Desconocida
1664,Desconocida
1665,Desconocida
1666,Desconocida
1667,Desconocida
1668,Desconocida
1669,Desconocida
1670,Desconocida
1671,Desconocida
1672,Desconocida
1673,Desconocida
1674,Desconocida
1675,Desconocida
1676,Desconocida
1677,Desconocida
1678,Desconocida
1679,Desconocida
1680,Desconocida
1681,Desconocida
1682,Desconocida
1683,Desconocida
1684,Desconocida
1685,Desconocida
1686,Desconocida
1687,Desconocida
1688,Desconocida
1689,Desconocida
1690,Desconocida
1691,Desconocida
1692,Desconocida
1693,Desconocida
